pvals_adj,fc,AUROC,cluster,Gene,cell_type
2.0223924158004195e-120,0.7994441,0.9158984375,NK-cell0,AC007319.1,NK-cell
2.0308333033558125e-120,0.7781332,0.915892578125,NK-cell0,LINC02742,NK-cell
2.7946473378617293e-120,0.7919904,0.91563671875,NK-cell0,AC097512.1,NK-cell
3.171457530258564e-120,0.7780263,0.9155390625,NK-cell0,AC092691.1,NK-cell
1.2590670725014424e-119,0.7895315,0.914453125,NK-cell0,LINC01266,NK-cell
1.563238852026822e-119,0.79479796,0.9142851562500001,NK-cell0,LINC02476,NK-cell
2.780474568595417e-119,0.79864854,0.91382421875,NK-cell0,LINC02223,NK-cell
3.065529687689337e-119,0.77791315,0.9137363281249999,NK-cell0,ANGPT1,NK-cell
5.883406353113185e-119,0.7990335,0.91321875,NK-cell0,LNCAROD,NK-cell
1.1482912446510243e-118,0.7705886,0.9126953125,NK-cell0,FLJ46284,NK-cell
1.3787478518558577e-118,0.79126084,0.9125458984375,NK-cell0,AC132803.1,NK-cell
1.988032156947638e-118,0.7979684,0.912255859375,NK-cell0,PCLO,NK-cell
2.500375527663327e-118,0.7871892,0.912080078125,NK-cell0,AC079772.1,NK-cell
3.869734938827908e-118,0.79781836,0.9117363281249999,NK-cell0,AP003066.1,NK-cell
5.757803486485616e-118,0.7955525,0.9114140625,NK-cell0,PLCB4,NK-cell
8.656345916411644e-117,0.7950766,0.909314453125,NK-cell0,LINC00351,NK-cell
9.914675556976262e-117,0.7887259,0.909208984375,NK-cell0,AC022325.2,NK-cell
1.448158207134117e-116,0.76195955,0.908908203125,NK-cell0,AC008163.1,NK-cell
2.9041879724351535e-116,0.79853016,0.90836328125,NK-cell0,AC091096.1,NK-cell
2.9417097674808383e-116,0.7852673,0.9083515625,NK-cell0,AC091576.1,NK-cell
3.628768346555776e-116,0.7944279,0.9081816406250001,NK-cell0,LINC01378,NK-cell
7.366477170130005e-116,0.79159987,0.907625,NK-cell0,LINC02377,NK-cell
9.346953313966404e-116,0.79020864,0.907431640625,NK-cell0,LINC01192,NK-cell
2.587282102180317e-115,0.7916258,0.906634765625,NK-cell0,LINC01965,NK-cell
4.268662730450714e-115,0.7972171,0.906234375,NK-cell0,FRMPD2,NK-cell
8.838847384375779e-115,0.7872545,0.9056523437499999,NK-cell0,EGFEM1P,NK-cell
9.161613701777748e-115,0.7835839,0.905623046875,NK-cell0,LINC00355,NK-cell
6.417971479093368e-114,0.7998258,0.904076171875,NK-cell0,AL390800.1,NK-cell
1.1538681947225985e-113,0.7781217,0.90361328125,NK-cell0,LINC02653,NK-cell
5.003508914080673e-113,0.7794307,0.90244921875,NK-cell0,AC128685.1,NK-cell
1.473693576530144e-112,0.78925174,0.9015849609375,NK-cell0,AF121898.1,NK-cell
1.5254630490190245e-112,0.7894518,0.901556640625,NK-cell0,ANO5,NK-cell
1.1440258036751208e-111,0.79269826,0.89995703125,NK-cell0,AC010230.1,NK-cell
4.344041577014295e-111,0.38738045,0.8989003906249999,NK-cell0,KLRC4-KLRK1,NK-cell
9.135514992721747e-111,0.7969464,0.8983085937499999,NK-cell0,AC091946.1,NK-cell
1.5112779702453323e-110,0.7829465,0.897904296875,NK-cell0,AC090204.1,NK-cell
4.346975510432863e-110,0.765808,0.8970625,NK-cell0,LINC02227,NK-cell
4.678843479372263e-110,0.78780895,0.897001953125,NK-cell0,AC008568.1,NK-cell
8.423826075827077e-110,0.79195386,0.89652734375,NK-cell0,AC020584.1,NK-cell
3.2451834801835746e-109,0.79665375,0.8954355468749999,NK-cell0,SAMD12-AS1,NK-cell
3.9951131311933806e-109,0.7782063,0.895267578125,NK-cell0,ZNF804A,NK-cell
7.649918347498599e-109,0.7736126,0.8947441406250001,NK-cell0,LINC02315,NK-cell
2.984089011011237e-108,0.7579945,0.893646484375,NK-cell0,AL136372.2,NK-cell
4.394892915490096e-108,0.7990674,0.8933320312499999,NK-cell0,AL138927.1,NK-cell
5.415651862331634e-108,0.78844124,0.89316015625,NK-cell0,LINC00348,NK-cell
9.363763101823287e-108,0.79748017,0.892716796875,NK-cell0,SPTLC3,NK-cell
2.807600740797968e-107,0.79629046,0.891830078125,NK-cell0,TRPC4,NK-cell
2.8942059521565493e-107,0.77758014,0.8918046875,NK-cell0,AP000477.3,NK-cell
6.293904214694988e-106,0.76929605,0.889291015625,NK-cell0,LINC00448,NK-cell
1.2809827222422954e-105,0.7967636,0.8887109375,NK-cell0,PDZRN4,NK-cell
1.89771323678875e-105,0.78968716,0.888388671875,NK-cell0,LINC01707,NK-cell
2.5898096489683774e-105,0.7907711,0.88812890625,NK-cell0,AL590814.1,NK-cell
3.4632530586392165e-105,0.75454366,0.887888671875,NK-cell0,AL133257.1,NK-cell
1.2232059912369502e-104,0.7542013,0.886859375,NK-cell0,AC113167.1,NK-cell
1.23646677986204e-104,0.78982735,0.886849609375,NK-cell0,AC012355.1,NK-cell
2.237641157909936e-104,0.7635272,0.886361328125,NK-cell0,LINC02232,NK-cell
8.846461615959757e-104,0.7787977,0.885224609375,NK-cell0,AC017091.1,NK-cell
1.937098523952913e-103,0.784718,0.884580078125,NK-cell0,AL713998.4,NK-cell
1.1846216187779961e-102,0.7921855,0.8830820312500001,NK-cell0,AC099517.1,NK-cell
5.75143047762479e-102,0.7843175,0.88176953125,NK-cell0,AC008662.1,NK-cell
7.79976225050593e-102,0.7937563,0.8815185546875,NK-cell0,GULP1,NK-cell
8.065097856361255e-102,0.7724648,0.881490234375,NK-cell0,AC004862.1,NK-cell
1.274075737816455e-101,0.7527812,0.881109375,NK-cell0,AL355672.1,NK-cell
1.6349532333445894e-101,0.7832684,0.880900390625,NK-cell0,CASC6,NK-cell
2.461349729700014e-101,0.7778922,0.880556640625,NK-cell0,AC090679.2,NK-cell
1.7763911803592335e-100,0.53533727,0.878900390625,NK-cell0,PRF1,NK-cell
2.395754789798463e-100,0.7988964,0.878650390625,NK-cell0,AC079380.1,NK-cell
2.8732618508031717e-100,0.7993296,0.8784960937499999,NK-cell0,AC116049.1,NK-cell
5.077109473740542e-100,0.7968185,0.878017578125,NK-cell0,ADGRL3-AS1,NK-cell
5.917304694940925e-100,0.78641826,0.87788671875,NK-cell0,AC100801.1,NK-cell
9.43642512585678e-100,0.7997854,0.877494140625,NK-cell0,LRRIQ1,NK-cell
2.348904033201178e-99,0.7798731,0.8767265625,NK-cell0,AC062004.1,NK-cell
1.3730730250728979e-98,0.7833461,0.87523828125,NK-cell0,AC005100.1,NK-cell
2.0465662060738155e-98,0.7963885,0.874900390625,NK-cell0,LINC01720,NK-cell
3.137527723557531e-98,0.7899333,0.8745371093750001,NK-cell0,LINC01687,NK-cell
3.415006869132841e-98,0.7994068,0.87446484375,NK-cell0,AL353604.1,NK-cell
3.5007087308891826e-98,0.74667704,0.8744433593750001,NK-cell0,AC008574.1,NK-cell
