feature,DMR,pvalue,odds_ratio,effect_size,fdr,-log10(FDR),log2(odds_ratio),exposure,condition
H3K4me1_Th-Naive,HIV_pre_eDMR_NK-cell1,6.469310917447625e-11,0.6528909635425376,0.020243685875212247,1.868912042818203e-10,9.728411137474874,-0.6150860211726981,HIV,pre
H3K4me1_Th-Naive,HIV_acu_eDMR_NK-cell2,4.885738431130426e-09,1.362960858785161,0.018184811427703645,1.2540359702572428e-08,7.9016900062005275,0.4467441317341974,HIV,acu
H3K4me1_Th-Naive,HIV_pre_eDMR_NK-cell2,1.5294048679062175e-41,2.386513805161194,0.042371331565330725,1.4411304929800868e-40,39.841296692457846,1.2549046819086536,HIV,pre
H3K4me1_Th-Naive,HIV_cro_eDMR_NK-cell2,2.7122001198248705e-09,1.5198459693989572,0.01864032073778302,7.093002335720816e-09,8.14916989713857,0.6039251194291086,HIV,cro
H3K4me1_Th-Naive,HIV_cro_eDMR_Tc-Mem,0.0001752086996134303,1.1983012375927014,0.011593375578983904,0.00030970343521597,3.509053977442484,0.26099062878684853,HIV,cro
H3K4me1_Th-Naive,HIV_pre_eDMR_Tc-Mem,1.3831811678579712e-31,0.6940416335699267,0.03394142851296141,9.573172195569113e-31,30.01894412922922,-0.5269058863442273,HIV,pre
H3K4me1_Th-Naive,HIV_acu_eDMR_Tc-Mem,0.0,3.9796464950740096,0.12128642247805779,0.0,100.0,1.9926402844236544,HIV,acu
H3K4me1_Th-Naive,HIV_acu_eDMR_Tc-Naive,0.7856108627364553,0.984633540221579,0.000840676872731349,0.8190287004321505,0.08670087941062062,-0.02234121100502175,HIV,acu
H3K4me1_Th-Naive,HIV_cro_eDMR_Tc-Naive,0.0008001629636968336,1.2399292437399696,0.010467294767461704,0.0013203494975172062,2.8793110954967207,0.3102577959202319,HIV,cro
H3K4me1_Th-Naive,HIV_pre_eDMR_Tc-Naive,5.006905696082949e-112,3.6792578973502863,0.07062839559772474,1.5873506187452654e-110,100.0,1.879414805473159,HIV,pre
H3K4me1_Th-Naive,HIV_acu_eDMR_Th-Mem,9.156204306070018e-05,0.7988953182010002,0.01209593912432812,0.00016658122162172554,3.778373957345285,-0.3239216202778254,HIV,acu
H3K4me1_Th-Naive,HIV_pre_eDMR_Th-Mem,0.00013715984026402487,1.1974406186670516,0.011770139396319755,0.00024522592507091804,3.610433618492653,0.25995411418383,HIV,pre
H3K4me1_Th-Naive,HIV_cro_eDMR_Th-Mem,0.004665214160458926,0.8488865014381697,0.008759731978470636,0.00705923399060667,2.151242422418656,-0.2363564206830434,HIV,cro
H3K4me1_Th-Naive,HIV_acu_eDMR_Th-Naive,0.0009631104973272104,1.2210957949270551,0.01028810395478368,0.0015749500778255946,2.802733207759131,0.2881763841460023,HIV,acu
H3K4me1_Th-Naive,HIV_pre_eDMR_Th-Naive,1.258066977859367e-23,1.9173923122559688,0.03140434467948257,6.683395815352356e-23,22.1750028175935,0.9391455529892232,HIV,pre
H3K4me1_Th-Naive,HIV_cro_eDMR_Th-Naive,9.988723403766074e-42,2.439923354942225,0.0424887463572854,9.484944310358742e-41,40.02296521467252,1.2868358292711575,HIV,cro
H3K4me1_Th-Naive,MRSA_MSSA_eDMR_B-Mem,2.2634008488493912e-07,0.7622509462781213,0.01592004282870442,5.174390216909006e-07,6.286140822882701,-0.39166205865213477,MRSA,MSSA
H3K4me1_Th-Naive,MRSA_MRSA_eDMR_B-Mem,2.6428342449764976e-13,0.6052475760790605,0.02267706428455169,8.698518070873751e-13,12.060554729963236,-0.7244026984173368,MRSA,MRSA
H3K4me1_Th-Naive,MRSA_Ctrl_eDMR_B-Mem,0.958704165994278,1.0091648809664318,0.00016257648646116301,0.9707546407780511,0.012890524593934607,0.01316190637616607,MRSA,Ctrl
H3K4me1_Th-Naive,MRSA_Ctrl_eDMR_B-Naive,0.16734350602771347,0.8791545723629202,0.004330112905041838,0.20261820589384846,0.6933215344742386,-0.1858112535501153,MRSA,Ctrl
H3K4me1_Th-Naive,MRSA_MSSA_eDMR_B-Naive,0.18271813753235866,0.87863773235524,0.004180932460311448,0.21958349910345082,0.6584002986371082,-0.18665963880643854,MRSA,MSSA
H3K4me1_Th-Naive,MRSA_MRSA_eDMR_B-Naive,0.00011668203187474538,0.7238755467091074,0.01204507836794128,0.0002098355003229639,3.6781210352553866,-0.46618641357230517,MRSA,MRSA
H3K4me1_Th-Naive,MRSA_Ctrl_eDMR_Monocyte,7.032640703632334e-36,1.6103082957021604,0.03838556913977301,5.632990451124578e-35,34.249260984966924,0.6873369207009905,MRSA,Ctrl
H3K4me1_Th-Naive,MRSA_MSSA_eDMR_Monocyte,4.119475383440497e-09,0.7426750924016159,0.01803439410486704,1.0648659670818835e-08,7.9727050527134695,-0.429196900408015,MRSA,MSSA
H3K4me1_Th-Naive,MRSA_MRSA_eDMR_Monocyte,9.128982559728898e-10,0.6433342573812847,0.01904196649708,2.4513563004649075e-09,8.610593560196426,-0.6363595810229721,MRSA,MRSA
H3K4me1_Th-Naive,MRSA_Ctrl_eDMR_NK-cell1,3.024552884682336e-15,0.5752634821791976,0.024471861479708593,1.1137244567500186e-14,13.953222243376823,-0.7977052042778255,MRSA,Ctrl
H3K4me1_Th-Naive,MRSA_MRSA_eDMR_NK-cell1,0.07054970862255107,1.2011060214368467,0.005686794920983352,0.09094471882770618,1.041222515408395,0.2643635031253462,MRSA,MRSA
H3K4me1_Th-Naive,MRSA_MSSA_eDMR_NK-cell1,3.248618503297892e-112,3.7786317403220475,0.07071515044807043,1.033249923961543e-110,100.0,1.917863922593778,MRSA,MSSA
H3K4me1_Th-Naive,MRSA_Ctrl_eDMR_NK-cell2,0.8146209632148658,0.9772675488446394,0.00073479928758564,0.8447921100006015,0.07325015091727333,-0.03317450858966183,MRSA,Ctrl
H3K4me1_Th-Naive,MRSA_MSSA_eDMR_NK-cell2,6.564658743504849e-13,0.6568570688342361,0.02216894305945389,2.1181046004978875e-12,11.674052596496086,-0.606348618582504,MRSA,MSSA
H3K4me1_Th-Naive,MRSA_MRSA_eDMR_NK-cell2,2.3451846147324276e-11,0.5692598383853785,0.020847653821761628,6.986503302088602e-11,10.155740131345608,-0.8128407745471751,MRSA,MRSA
H3K4me1_Th-Naive,MRSA_MRSA_eDMR_Tc-Mem,2.9028985395807564e-57,0.411826237825392,0.04849348678171248,4.104990913237363e-56,55.386687799892954,-1.2798923465715886,MRSA,MRSA
H3K4me1_Th-Naive,MRSA_Ctrl_eDMR_Tc-Mem,0.964427067664089,1.0036830992875165,0.00013788803375278664,0.9753436119574673,0.010842356109227605,0.005303827799623996,MRSA,Ctrl
H3K4me1_Th-Naive,MRSA_MSSA_eDMR_Tc-Mem,0.8478495040847777,1.0079071231453745,0.000580476351371616,0.873660224378338,0.05865743620791983,0.011362703172155124,MRSA,MSSA
H3K4me1_Th-Naive,MRSA_Ctrl_eDMR_Tc-Naive,0.00016020701491633446,1.2154034880794133,0.011700597391094952,0.0002839521267083382,3.5467548742450505,0.28143533738367255,MRSA,Ctrl
H3K4me1_Th-Naive,MRSA_MSSA_eDMR_Tc-Naive,1.1856265673042846e-07,0.7856271148873945,0.016153380416756888,2.76974991762931e-07,6.557559441872977,-0.3480833716521336,MRSA,MSSA
H3K4me1_Th-Naive,MRSA_MRSA_eDMR_Tc-Naive,0.022581883981067773,0.905041342220044,0.006960184890376699,0.03124521410191948,1.5052164950655882,-0.14394439898594544,MRSA,MRSA
H3K4me1_Th-Naive,MRSA_MRSA_eDMR_Th-Mem,8.658953170687279e-120,0.3216237959374989,0.06924449775672213,3.0392925629112347e-118,100.0,-1.636553943933342,MRSA,MRSA
H3K4me1_Th-Naive,MRSA_Ctrl_eDMR_Th-Mem,0.7776399781955537,1.0209952826659119,0.0008806999983221507,0.811665856595784,0.0906227226098592,0.029976200505413424,MRSA,Ctrl
H3K4me1_Th-Naive,MRSA_MSSA_eDMR_Th-Mem,2.820792628142334e-25,0.5973203604876739,0.0316443780963111,1.5805444668975403e-24,23.80119328125017,-0.7434231960209576,MRSA,MSSA
H3K4me1_Th-Naive,MRSA_MSSA_eDMR_Th-Naive,2.9258234759607563e-10,0.767720116600745,0.019084776316926323,8.113711377466792e-10,9.090780445165453,-0.38134764329803383,MRSA,MSSA
H3K4me1_Th-Naive,MRSA_MRSA_eDMR_Th-Naive,7.180457700923503e-07,1.2018945691907135,0.015065796867499513,1.5766206051089407e-06,5.802272801871425,0.2653103476490466,MRSA,MRSA
H3K4me1_Th-Naive,MRSA_Ctrl_eDMR_Th-Naive,1.3432955088219366e-111,2.359125634789487,0.06943211584692656,4.244986579003856e-110,100.0,1.2382522510747818,MRSA,Ctrl
H3K4me1_Th-Naive,BA_Ctrl_eDMR_B-Mem,0.041078648556042256,0.8882413383939777,0.006328687683469894,0.05500285531454813,1.2596147647754825,-0.17097637957401876,BA,Ctrl
H3K4me1_Th-Naive,BA_unfrequent_eDMR_B-Mem,0.5070957098977771,1.057169993581046,0.0020780701309882628,0.5549818081152954,0.255721252489269,0.08020738161862312,BA,unfrequent
H3K4me1_Th-Naive,BA_frequent_eDMR_B-Mem,0.08564176192835009,1.1476058032465224,0.005386708356273868,0.10899860609062739,0.9625790559219415,0.19862716870005348,BA,frequent
H3K4me1_Th-Naive,BA_Ctrl_eDMR_B-Naive,6.576707249096906e-12,1.6306798378820277,0.02153321299399992,2.0217666200852173e-11,10.694268978052078,0.7054735560286545,BA,Ctrl
H3K4me1_Th-Naive,BA_frequent_eDMR_B-Naive,0.0026769334221929692,0.6911485415947035,0.009440611414649764,0.004176679103558105,2.379168890525525,-0.5329322870354777,BA,frequent
H3K4me1_Th-Naive,BA_unfrequent_eDMR_B-Naive,0.11071763881019024,0.8404482577219721,0.0050115851160438315,0.13828097016476676,0.8592375821544593,-0.25076909235124245,BA,unfrequent
H3K4me1_Th-Naive,BA_Ctrl_eDMR_Monocyte,8.196133789687136e-06,1.2662009622985018,0.013846578430134536,1.6385598634061264e-05,4.785537687408228,0.34050639710641967,BA,Ctrl
H3K4me1_Th-Naive,BA_unfrequent_eDMR_Monocyte,0.196180886762221,0.9116095711307499,0.004032362908081449,0.23450082158831284,0.6298556313683197,-0.13351202312489271,BA,unfrequent
H3K4me1_Th-Naive,BA_frequent_eDMR_Monocyte,3.469388913067945e-06,0.7132731772186145,0.014453203316999225,7.175327070208704e-06,5.144158297862346,-0.4874733731433378,BA,frequent
H3K4me1_Th-Naive,BA_Ctrl_eDMR_NK-cell1,5.023739939415718e-41,0.4567445934933104,0.04104154657104185,4.6755034208880364e-40,39.330171620910605,-1.1305404431808568,BA,Ctrl
