feature,DMR,pvalue,odds_ratio,effect_size,fdr,-log10(FDR),log2(odds_ratio)
H3K36me3_Tc-Naive,gDMR_Tc-Mem,1.664159551532941e-17,1.2281468599369985,0.018208134665532276,5.860735811920359e-17,16.23204785514306,0.29648308630623255
H3K36me3_Tc-Naive,gDMR_Tc-Naive,0.007962181293235355,0.9111952336066654,0.00756614793887284,0.012054891303776892,1.9188367012038001,-0.1341678944502179
H3K36me3_Tc-Naive,gDMR_Th-Mem,7.664877831516914e-07,1.1884141903117897,0.013479565899272537,1.6704621641781254e-06,5.777163356646471,0.24903773695225762
H3K36me3_Tc-Naive,gDMR_Th-Naive,6.878241434619743e-06,0.860298465487495,0.011835689636912767,1.3928438905104982e-05,4.856097556432521,-0.21709083044890065
H3K27ac_NK-cell1,gDMR_B-Mem,0.003280225283912243,1.1122410704404802,0.010259234350181508,0.005126011215374116,2.2902204479430814,0.15346951597115058
H3K27ac_NK-cell1,gDMR_B-Naive,1.1695793729596124e-14,0.7306628649041876,0.0354421508562904,3.691010228950465e-14,13.432854751236045,-0.4527222089895198
H3K27ac_NK-cell1,gDMR_Monocyte,0.7826573938679845,0.9908507826746236,0.0007955042561333994,0.845670677293469,0.07279872783420413,-0.013260283998519792
H3K27ac_NK-cell1,gDMR_NK-cell1,0.386332779743488,0.9632817983104274,0.003471318646904698,0.4741356842306444,0.3240973577346969,-0.05397018928665473
H3K27ac_NK-cell1,gDMR_NK-cell2,0.0004443364654345078,0.8807981643192814,0.013940228460518709,0.0007740054559181749,3.111255977990485,-0.18311663271785647
H3K27ac_NK-cell1,gDMR_Tc-Mem,0.4192458188783892,0.985302490030849,0.0017271936223680728,0.5093836699372428,0.2929549819672675,-0.02136139176753106
H3K27ac_NK-cell1,gDMR_Tc-Naive,1.3429163468198596e-98,0.5701034334430881,0.060089703708249405,1.5178077780336087e-97,96.8187832259539,-0.810704404771588
H3K27ac_NK-cell1,gDMR_Th-Mem,4.522081410643477e-06,0.8749406886094246,0.01250373367732559,9.273128968661308e-06,5.032773700101811,-0.19274287354157366
H3K27ac_NK-cell1,gDMR_Th-Naive,1.3347290824988938e-203,0.46755743405267014,0.08012473816989635,3.815754906438014e-202,100.0,-1.0967845005104702
H3K4me3_Monocyte,gDMR_B-Mem,0.9087605971674407,0.992148527164761,0.00039988336725662086,0.9377020174593975,0.027935149609402014,-0.011371982980704859
H3K4me3_Monocyte,gDMR_B-Naive,6.961130834758142e-27,0.5092272617993358,0.04928891018093777,3.383109585692457e-26,25.47068393431645,-0.9736184380010016
H3K4me3_Monocyte,gDMR_Monocyte,0.8326953147323637,0.989704933510473,0.0006091804531634883,0.8855359364549863,0.05279380975632664,-0.014929624656457755
H3K4me3_Monocyte,gDMR_NK-cell1,0.857683537333322,0.9880319074423335,0.000718572125611545,0.9041956597483612,0.04373758196425582,-0.01737046201918548
H3K4me3_Monocyte,gDMR_NK-cell2,2.0704213022950517e-06,0.7586111404001598,0.018838733484845695,4.318561171310709e-06,5.364660924352786,-0.398567536751058
H3K4me3_Monocyte,gDMR_Tc-Mem,7.712877773098354e-34,0.7179304202979495,0.0259288978694864,3.945745892342947e-33,32.403870886926384,-0.478084065818584
H3K4me3_Monocyte,gDMR_Tc-Naive,6.271987774608313e-59,0.5103677644480595,0.046151210951282017,4.2335917478606115e-58,57.373291024020865,-0.9703908855721752
H3K4me3_Monocyte,gDMR_Th-Mem,1.0413952799411051e-12,0.7221729021207876,0.019426870153026524,3.0306473416250127e-12,11.518464596953699,-0.46958380740253347
H3K4me3_Monocyte,gDMR_Th-Naive,2.6422733791904897e-114,0.41586533199839026,0.059799763720500214,3.4706617899637246e-113,100.0,-1.2658116730400737
H3K4me3_Th-Mem,gDMR_B-Mem,0.9032209076584574,0.9933394525664946,0.0004242792177276929,0.9339688534510857,0.02966760663914728,-0.009641282624178625
H3K4me3_Th-Mem,gDMR_B-Naive,3.410548626928657e-26,0.5749562389609894,0.04861041242669838,1.6092491579488614e-25,24.79337670944663,-0.7984759409808249
H3K4me3_Th-Mem,gDMR_Monocyte,0.7624204314325981,1.0125923528099283,0.0008717684726039799,0.8289403348461805,0.08147672780870632,0.018053494036588676
H3K4me3_Th-Mem,gDMR_NK-cell1,0.8622367083567627,0.9902283652823749,0.0006953465711422955,0.9070282256739971,0.042379197985404654,-0.014166818717874091
H3K4me3_Th-Mem,gDMR_NK-cell2,1.6833702626823646e-07,0.7841848963915714,0.020763149249015483,3.8051997565750195e-07,6.419622539707828,-0.35073423945318355
H3K4me3_Th-Mem,gDMR_Tc-Mem,2.392761288316328e-21,0.8071882419486293,0.02028493173774649,9.610594926625912e-21,20.017249727279058,-0.3090229355644398
H3K4me3_Th-Mem,gDMR_Tc-Naive,1.695267567261677e-99,0.5038397960422278,0.06036842234120076,1.9616667564027977e-98,97.70737476767347,-0.9889630163140369
H3K4me3_Th-Mem,gDMR_Th-Mem,1.3550487262787735e-09,0.7971081122791244,0.016525236087604495,3.4299670883931454e-09,8.464710047128607,-0.32715268375679485
H3K4me3_Th-Mem,gDMR_Th-Naive,1.2445183427458045e-208,0.3960744530353835,0.08111868656646051,3.780224466090381e-207,100.0,-1.3361564450655958
H3K27ac_Tc-Mem,gDMR_B-Mem,0.12430851322472619,1.071921535273683,0.0053628726219170095,0.16735162722220756,0.776370060478658,0.1001993042895386
H3K27ac_Tc-Mem,gDMR_B-Naive,1.732179922220597e-14,0.6768866209248018,0.035211566550918755,5.362034663689237e-14,13.270670382781281,-0.5630138934769572
H3K27ac_Tc-Mem,gDMR_Monocyte,0.27746510003557256,0.9580631149988067,0.0031318419700967384,0.35116676723252155,0.45448659040385975,-0.061807394357589314
H3K27ac_Tc-Mem,gDMR_NK-cell1,0.3889541130762263,0.9555508774411997,0.003452199104689646,0.47559576142983867,0.32276202452398284,-0.06559540464852147
H3K27ac_Tc-Mem,gDMR_NK-cell2,0.0015109562664585797,0.8699986550688846,0.012592046164686102,0.00249770321598255,2.6024591669700596,-0.20091492418685875
H3K27ac_Tc-Mem,gDMR_Tc-Mem,0.12998312909842852,1.033609042760458,0.003237790911410992,0.17450773685590126,0.7581853136942619,0.04769059694072256
H3K27ac_Tc-Mem,gDMR_Tc-Naive,1.9603777165869672e-84,0.5444605774246537,0.05551382417032692,1.7643399449282706e-83,82.753417733273,-0.8771005029019426
H3K27ac_Tc-Mem,gDMR_Th-Mem,0.0020382423269311267,0.8956097963151554,0.008410502548148095,0.0032909826275366364,2.482674410256489,-0.15905778619439725
H3K27ac_Tc-Mem,gDMR_Th-Naive,4.333812937063181e-195,0.4198158913401869,0.07841434171629258,1.1085437302172135e-193,100.0,-1.2521713167190431
H3K4me3_Tc-Mem,gDMR_B-Mem,0.6456693452594995,1.0236023066697022,0.0016043441762385344,0.7164276296714994,0.14482767354539305,0.033655303581429895
H3K4me3_Tc-Mem,gDMR_B-Naive,6.056163823284556e-22,0.5929434477219373,0.04420827326934054,2.5156372804412774e-21,20.599351977876562,-0.7540335813162887
H3K4me3_Tc-Mem,gDMR_Monocyte,0.45069974365285714,1.032118970773646,0.0021750646874846877,0.5368629299394329,0.27013658277276437,0.04560927759499803
H3K4me3_Tc-Mem,gDMR_NK-cell1,0.5168278488922786,0.9657446515237783,0.0025975890839382647,0.5965244866377881,0.22437172434333988,-0.05028631232556173
H3K4me3_Tc-Mem,gDMR_NK-cell2,1.062025997465917e-05,0.8082956847405441,0.017480201267331685,2.1208919237665076e-05,4.673481461661521,-0.3070449493426764
H3K4me3_Tc-Mem,gDMR_Tc-Mem,1.322642913715526e-24,0.7838998172767997,0.021894879297148524,5.951893111719867e-24,23.22534487675772,-0.35125880579336705
H3K4me3_Tc-Mem,gDMR_Tc-Naive,6.055532307074849e-90,0.5029807321343039,0.057337135598679236,5.885977402476753e-89,88.2301814095824,-0.9914249596412694
H3K4me3_Tc-Mem,gDMR_Th-Mem,1.1384712865474694e-08,0.7991308095452747,0.015565367926214027,2.7803871621209554e-08,7.555894725425276,-0.3234964179721591
H3K4me3_Tc-Mem,gDMR_Th-Naive,3.950164213077758e-168,0.4108261202729901,0.07273239337418663,9.141808607408527e-167,100.0,-1.2834001839461395
H3K27ac_B-Mem,gDMR_B-Mem,0.039388513792623314,1.0802212993431726,0.0071883711325555315,0.05613729531734584,1.2507485154110243,0.11132690012890822
H3K27ac_B-Mem,gDMR_B-Naive,1.1510257109485294e-14,0.7192029639620612,0.03545150856690305,3.6639302184536094e-14,13.436052806300347,-0.47552912842243844
H3K27ac_B-Mem,gDMR_Monocyte,0.6815160096273236,0.986163680750767,0.00118347697393698,0.7544801382206817,0.12235218859176593,-0.020100973832569324
H3K27ac_B-Mem,gDMR_NK-cell1,0.5117785433424928,1.0287115894281387,0.002628956553646003,0.5950343829293099,0.22545793866633299,0.040838563549859444
H3K27ac_B-Mem,gDMR_NK-cell2,0.002451750135263624,0.8868035958432191,0.01202313515985045,0.0038812722011013724,2.411025898282696,-0.17331347477837325
H3K27ac_B-Mem,gDMR_Tc-Mem,1.484278555541207e-13,0.8671403564455252,0.01579917459332912,4.452835666623621e-13,12.35136333235485,-0.20566256607778202
H3K27ac_B-Mem,gDMR_Tc-Naive,1.4989313137862522e-72,0.6012933713794592,0.051363021285540475,1.1563184420636804e-71,70.93692254776133,-0.7338590404456709
H3K27ac_B-Mem,gDMR_Th-Mem,3.192922658298288e-09,0.8356973000320427,0.01614522477352248,7.998765009963752e-09,8.096977061853224,-0.25894762007267386
H3K27ac_B-Mem,gDMR_Th-Naive,1.444159408371842e-171,0.4753721403183993,0.07348114288677661,3.509307362343576e-170,100.0,-1.072870739781689
H3K4me3_B-Mem,gDMR_B-Mem,0.7955061616368435,0.9849205008044607,0.0009043183801829655,0.855345120698022,0.06785861770160193,-0.021920814708032827
H3K4me3_B-Mem,gDMR_B-Naive,5.3826354107760766e-18,0.6073164920226057,0.03969210626359222,1.923500595321451e-17,16.715907674943452,-0.7194795479681579
H3K4me3_B-Mem,gDMR_Monocyte,0.15345154843307987,1.06422649077609,0.00411639429133943,0.2026561210284696,0.6932402742872454,0.0898052207135939
H3K4me3_B-Mem,gDMR_NK-cell1,0.8137166336828514,0.9854752871985067,0.0009442146972459385,0.8729940043484896,0.05898873898321373,-0.021108401683739102
H3K4me3_B-Mem,gDMR_NK-cell2,0.003809418589132453,0.8554593784134689,0.011484509758731259,0.005933902033071706,2.2266596280305655,-0.225228745085405
H3K4me3_B-Mem,gDMR_Tc-Mem,1.817746460659974e-24,0.7687299423638686,0.02182899516658859,8.104814494318783e-24,23.0912569209778,-0.37945123173308115
H3K4me3_B-Mem,gDMR_Tc-Naive,3.5987741881387804e-59,0.5384267721036895,0.04624858887101625,2.463386275261193e-58,57.6084674825738,-0.8931779482731512
H3K4me3_B-Mem,gDMR_Th-Mem,2.036546647603856e-08,0.7898889176233497,0.01529318377194181,4.8756732548545516e-08,7.311965406492625,-0.34027831408112363
H3K4me3_B-Mem,gDMR_Th-Naive,5.800956230345311e-113,0.445423987971631,0.05944163911955701,7.228883917814927e-112,100.0,-1.1667488394203471
H3K4me3_NK-cell2,gDMR_B-Mem,0.19719225914855978,1.0618883165698343,0.004499803818980447,0.2562444864871659,0.591345470380912,0.08663203958493924
